num_index_per_subject,M,ef_construction,ef_search,index_build_time,hit_rate,avg_time_ms,total_queries
3,48,100,300,0.0025,0.6285714285714286,0.0870,70
3,48,100,400,0.0025,0.6285714285714286,0.0929,70
3,48,100,500,0.0024,0.6285714285714286,0.0885,70
3,48,200,100,0.0023,0.6285714285714286,0.0883,70
3,48,200,200,0.0025,0.6285714285714286,0.0888,70
3,48,200,300,0.0025,0.6285714285714286,0.0908,70
3,48,200,400,0.0026,0.6285714285714286,0.0827,70
3,48,200,500,0.0026,0.6285714285714286,0.0811,70
3,48,300,100,0.0026,0.6285714285714286,0.1046,70
3,48,300,200,0.0024,0.6285714285714286,0.0828,70
3,48,300,300,0.0027,0.6285714285714286,0.0816,70
3,48,300,400,0.0027,0.6285714285714286,0.0807,70
3,48,300,500,0.0025,0.6285714285714286,0.0913,70
3,48,400,100,0.0024,0.6285714285714286,0.0908,70
3,48,400,200,0.0024,0.6285714285714286,0.0926,70
3,48,400,300,0.0025,0.6285714285714286,0.0962,70
3,48,400,400,0.0024,0.6285714285714286,0.0912,70
3,48,400,500,0.0024,0.6285714285714286,0.0878,70
3,48,500,100,0.0025,0.6285714285714286,0.0913,70
3,48,500,200,0.0024,0.6285714285714286,0.0918,70
3,48,500,300,0.0024,0.6285714285714286,0.0806,70
3,48,500,400,0.0025,0.6285714285714286,0.0970,70
3,48,500,500,0.0024,0.6285714285714286,0.0915,70
3,64,100,100,0.0026,0.6285714285714286,0.1044,70
3,64,100,200,0.0029,0.6285714285714286,0.0866,70
3,64,100,300,0.0023,0.6285714285714286,0.0915,70
3,64,100,400,0.0025,0.6285714285714286,0.0892,70
3,64,100,500,0.0025,0.6285714285714286,0.0962,70
3,64,200,100,0.0024,0.6285714285714286,0.0801,70
3,64,200,200,0.0024,0.6285714285714286,0.0881,70
3,64,200,300,0.0025,0.6285714285714286,0.0968,70
3,64,200,400,0.0025,0.6285714285714286,0.0849,70
3,64,200,500,0.0028,0.6285714285714286,0.0865,70
3,64,300,100,0.0025,0.6285714285714286,0.0886,70
3,64,300,200,0.0026,0.6285714285714286,0.1014,70
3,64,300,300,0.0027,0.6285714285714286,0.1006,70
3,64,300,400,0.0026,0.6285714285714286,0.1047,70
3,64,300,500,0.0026,0.6285714285714286,0.0916,70
3,64,400,100,0.0024,0.6285714285714286,0.0895,70
3,64,400,200,0.0025,0.6285714285714286,0.0805,70
3,64,400,300,0.0028,0.6285714285714286,0.1106,70
3,64,400,400,0.0027,0.6285714285714286,0.0818,70
3,64,400,500,0.0024,0.6285714285714286,0.0911,70
3,64,500,100,0.0023,0.6285714285714286,0.0916,70
3,64,500,200,0.0026,0.6285714285714286,0.1041,70
3,64,500,300,0.0025,0.6285714285714286,0.0922,70
3,64,500,400,0.0025,0.6285714285714286,0.0841,70
3,64,500,500,0.0028,0.6285714285714286,0.1092,70
4,16,100,100,0.0048,0.8833333333333333,0.1409,60
4,16,100,200,0.0047,0.8833333333333333,0.1410,60
4,16,100,300,0.0050,0.8833333333333333,0.1464,60
4,16,100,400,0.0046,0.8833333333333333,0.1332,60
4,16,100,500,0.0045,0.8833333333333333,0.1291,60
4,16,200,100,0.0046,0.8833333333333333,0.1352,60
4,16,200,200,0.0045,0.8833333333333333,0.1286,60
4,16,200,300,0.0048,0.8833333333333333,0.1251,60
4,16,200,400,0.0046,0.8833333333333333,0.1217,60
4,16,200,500,0.0045,0.8833333333333333,0.1163,60
4,16,300,100,0.0048,0.8833333333333333,0.1422,60
4,16,300,200,0.0048,0.8833333333333333,0.1346,60
4,16,300,300,0.0052,0.8833333333333333,0.1507,60
4,16,300,400,0.0052,0.8833333333333333,0.1538,60
4,16,300,500,0.0053,0.8833333333333333,0.1505,60
4,16,400,100,0.0052,0.8833333333333333,0.1465,60
4,16,400,200,0.0045,0.8833333333333333,0.1351,60
4,16,400,300,0.0047,0.8833333333333333,0.1355,60
4,16,400,400,0.0051,0.8833333333333333,0.1507,60
4,16,400,500,0.0046,0.8833333333333333,0.1346,60
4,16,500,100,0.0047,0.8833333333333333,0.1182,60
4,16,500,200,0.0046,0.8833333333333333,0.1318,60
4,16,500,300,0.0046,0.8833333333333333,0.1324,60
4,16,500,400,0.0052,0.8833333333333333,0.1520,60
4,16,500,500,0.0052,0.8833333333333333,0.1238,60
4,32,100,100,0.0050,0.8833333333333333,0.1534,60
4,32,100,200,0.0052,0.8833333333333333,0.1505,60
4,32,100,300,0.0047,0.8833333333333333,0.1340,60
4,32,100,400,0.0048,0.8833333333333333,0.1396,60
4,32,100,500,0.0051,0.8833333333333333,0.1527,60
4,32,200,100,0.0049,0.8833333333333333,0.1542,60
4,32,200,200,0.0051,0.8833333333333333,0.1174,60
4,32,200,300,0.0050,0.8833333333333333,0.1520,60
4,32,200,400,0.0051,0.8833333333333333,0.1214,60
4,32,200,500,0.0047,0.8833333333333333,0.1176,60
4,32,300,100,0.0048,0.8833333333333333,0.1355,60
4,32,300,200,0.0046,0.8833333333333333,0.1365,60
4,32,300,300,0.0049,0.8833333333333333,0.1480,60
4,32,300,400,0.0051,0.8833333333333333,0.1518,60
4,32,300,500,0.0047,0.8833333333333333,0.1191,60
4,32,400,100,0.0048,0.8833333333333333,0.1167,60
4,32,400,200,0.0048,0.8833333333333333,0.1365,60
4,32,400,300,0.0047,0.8833333333333333,0.1237,60
4,32,400,400,0.0053,0.8833333333333333,0.1185,60
